student_id,building_id,room_number,assigned_at,_ingested_at
33,2,204,2026-07-22T14:15:00Z,2026-08-12T00:00:00Z
34,2,204,2026-07-25T15:45:00Z,2026-08-12T00:00:00Z
35,2,204,2026-07-28T16:15:00Z,2026-08-12T00:00:00Z
36,2,205,2026-07-31T08:45:00Z,2026-08-12T00:00:00Z
37,2,205,2026-08-03T09:15:00Z,2026-08-12T00:00:00Z
38,2,206,2026-08-06T10:45:00Z,2026-08-12T00:00:00Z
39,2,206,2026-08-09T11:15:00Z,2026-08-12T00:00:00Z
40,2,206,2026-07-03T12:45:00Z,2026-08-12T00:00:00Z
41,2,207,2026-07-06T13:15:00Z,2026-08-12T00:00:00Z
42,2,207,2026-07-09T14:45:00Z,2026-08-12T00:00:00Z
43,2,208,2026-07-12T15:15:00Z,2026-08-12T00:00:00Z
44,3,301,2026-07-16T16:45:00Z,2026-08-12T00:00:00Z
45,3,301,2026-07-19T08:15:00Z,2026-08-12T00:00:00Z
46,3,302,2026-07-22T09:45:00Z,2026-08-12T00:00:00Z
47,3,302,2026-07-25T10:15:00Z,2026-08-12T00:00:00Z
48,3,302,2026-07-28T11:45:00Z,2026-08-12T00:00:00Z
49,3,303,2026-07-31T12:15:00Z,2026-08-12T00:00:00Z
50,3,303,2026-08-03T13:45:00Z,2026-08-12T00:00:00Z
51,3,304,2026-08-06T14:15:00Z,2026-08-12T00:00:00Z
52,3,304,2026-08-09T15:45:00Z,2026-08-12T00:00:00Z
53,3,304,2026-07-03T16:15:00Z,2026-08-12T00:00:00Z
54,3,305,2026-07-06T08:45:00Z,2026-08-12T00:00:00Z
55,3,305,2026-07-09T09:15:00Z,2026-08-12T00:00:00Z
56,3,306,2026-07-12T10:45:00Z,2026-08-12T00:00:00Z
57,3,306,2026-07-15T11:15:00Z,2026-08-12T00:00:00Z
58,3,306,2026-07-18T12:45:00Z,2026-08-12T00:00:00Z
59,3,307,2026-07-21T13:15:00Z,2026-08-12T00:00:00Z
60,3,307,2026-07-24T14:45:00Z,2026-08-12T00:00:00Z
61,3,308,2026-07-27T15:15:00Z,2026-08-12T00:00:00Z
62,3,308,2026-07-30T16:45:00Z,2026-08-12T00:00:00Z
63,3,308,2026-08-02T08:15:00Z,2026-08-12T00:00:00Z
64,3,309,2026-08-05T09:45:00Z,2026-08-12T00:00:00Z
65,3,309,2026-08-08T10:15:00Z,2026-08-12T00:00:00Z
66,4,401,2026-07-03T11:45:00Z,2026-08-12T00:00:00Z
67,4,401,2026-07-06T12:15:00Z,2026-08-12T00:00:00Z
68,4,402,2026-07-09T13:45:00Z,2026-08-12T00:00:00Z
69,4,402,2026-07-12T14:15:00Z,2026-08-12T00:00:00Z
70,4,402,2026-07-15T15:45:00Z,2026-08-12T00:00:00Z
71,4,403,2026-07-18T16:15:00Z,2026-08-12T00:00:00Z
72,4,403,2026-07-21T08:45:00Z,2026-08-12T00:00:00Z
73,4,404,2026-07-24T09:15:00Z,2026-08-12T00:00:00Z
74,4,404,2026-07-27T10:45:00Z,2026-08-12T00:00:00Z
75,4,404,2026-07-30T11:15:00Z,2026-08-12T00:00:00Z
76,4,405,2026-08-02T12:45:00Z,2026-08-12T00:00:00Z
77,4,405,2026-08-05T13:15:00Z,2026-08-12T00:00:00Z
78,4,406,2026-08-08T14:45:00Z,2026-08-12T00:00:00Z
79,4,406,2026-07-02T15:15:00Z,2026-08-12T00:00:00Z
80,4,406,2026-07-05T16:45:00Z,2026-08-12T00:00:00Z
81,4,407,2026-07-08T08:15:00Z,2026-08-12T00:00:00Z
82,4,407,2026-07-11T09:45:00Z,2026-08-12T00:00:00Z
83,4,408,2026-07-14T10:15:00Z,2026-08-12T00:00:00Z
84,4,408,2026-07-17T11:45:00Z,2026-08-12T00:00:00Z
85,4,408,2026-07-20T12:15:00Z,2026-08-12T00:00:00Z
86,4,409,2026-07-23T13:45:00Z,2026-08-12T00:00:00Z
87,4,409,2026-07-26T14:15:00Z,2026-08-12T00:00:00Z
88,4,410,2026-07-29T15:45:00Z,2026-08-12T00:00:00Z
89,4,410,2026-08-01T16:15:00Z,2026-08-12T00:00:00Z
90,4,410,2026-08-04T08:45:00Z,2026-08-12T00:00:00Z
91,4,411,2026-08-07T09:15:00Z,2026-08-12T00:00:00Z
92,4,411,2026-07-01T10:45:00Z,2026-08-12T00:00:00Z
93,4,412,2026-07-04T11:15:00Z,2026-08-12T00:00:00Z
94,5,501,2026-07-08T12:45:00Z,2026-08-12T00:00:00Z
95,5,501,2026-07-11T13:15:00Z,2026-08-12T00:00:00Z
96,5,502,2026-07-14T14:45:00Z,2026-08-12T00:00:00Z
97,5,502,2026-07-17T15:15:00Z,2026-08-12T00:00:00Z
98,5,502,2026-07-20T16:45:00Z,2026-08-12T00:00:00Z
99,5,503,2026-07-23T08:15:00Z,2026-08-12T00:00:00Z
100,5,503,2026-07-26T09:45:00Z,2026-08-12T00:00:00Z
101,5,504,2026-07-29T10:15:00Z,2026-08-12T00:00:00Z
102,5,504,2026-08-01T11:45:00Z,2026-08-12T00:00:00Z
103,5,504,2026-08-04T12:15:00Z,2026-08-12T00:00:00Z
104,6,601,2026-08-08T13:45:00Z,2026-08-12T00:00:00Z
105,6,601,2026-07-02T14:15:00Z,2026-08-12T00:00:00Z
106,6,602,2026-07-05T15:45:00Z,2026-08-12T00:00:00Z
107,6,602,2026-07-08T16:15:00Z,2026-08-12T00:00:00Z
108,6,602,2026-07-11T08:45:00Z,2026-08-12T00:00:00Z
109,6,603,2026-07-14T09:15:00Z,2026-08-12T00:00:00Z
110,6,603,2026-07-17T10:45:00Z,2026-08-12T00:00:00Z
111,6,604,2026-07-20T11:15:00Z,2026-08-12T00:00:00Z
112,6,604,2026-07-23T12:45:00Z,2026-08-12T00:00:00Z
113,6,604,2026-07-26T13:15:00Z,2026-08-12T00:00:00Z
114,6,605,2026-07-29T14:45:00Z,2026-08-12T00:00:00Z
115,6,605,2026-08-01T15:15:00Z,2026-08-12T00:00:00Z
116,6,606,2026-08-04T16:45:00Z,2026-08-12T00:00:00Z
117,6,606,2026-08-07T08:15:00Z,2026-08-12T00:00:00Z
118,6,606,2026-07-01T09:45:00Z,2026-08-12T00:00:00Z
119,6,607,2026-07-04T10:15:00Z,2026-08-12T00:00:00Z
120,6,607,2026-07-07T11:45:00Z,2026-08-12T00:00:00Z
